SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OFR,PC,FFMLP,30,30,,0.8840451324807667,0.25591904292037837,0.3642124833497953,0.019673763582593488,0.008392577467974185
OFR,PC,XGBoost,40,37,,0.933720534699756,0.4646179536380323,0.46982275419830516,0.01591017894969542,0.011450430292645006
OFR,PC,RF,40,37,,0.930913505728409,0.4274214847188329,0.39420180894327095,0.016098519876991894,0.004329326251048364
OFR,PC,LightGBM,40,37,,0.9220480419190713,0.47073993554804383,0.4903216292121469,0.016713052377032966,0.016529385724940792
OFR,PC,Logit,40,37,,0.9178112628554473,0.25043097605331444,0.33783783783783783,0.019680908385197576,0.00962185664665014
OFR,PC,FFMLP,40,37,,0.880873699980459,0.2575021338048591,0.34495300339046986,0.019665559765759004,0.007143192486991121
OFR,PC,XGBoost,ALL,37,,0.933720534699756,0.4646179536380323,0.46982275419830516,0.01591017894969542,0.011450430292645006
OFR,PC,RF,ALL,37,,0.930913505728409,0.4274214847188329,0.39420180894327095,0.016098519876991894,0.004329326251048364
OFR,PC,LightGBM,ALL,37,,0.9220480419190713,0.47073993554804383,0.4903216292121469,0.01671305237703296,0.016529385724941253
OFR,PC,Logit,ALL,37,,0.9178112628554473,0.25043097605331444,0.33783783783783783,0.019680908385197576,0.00962185664665014
OFR,PC,FFMLP,ALL,37,,0.880873699980459,0.2575021338048591,0.34495300339046986,0.019665559765759004,0.007143192486991121
