SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
F,GES,LightGBM,10,10,9b1ea467e841a70f,0.8554671385457151,0.2169847827396909,0.2898550724637681,0.0210413770061592,0.0197213070243453
F,GES,FFMLP,10,10,9b1ea467e841a70f,0.7178279088954991,0.0468069236195921,0.0710059171597633,0.0214193669527154,0.0018693693122793
F,GES,Logit,10,10,9b1ea467e841a70f,0.6364323917464592,0.0352742385700245,0.0439874321622393,0.0222636801801883,0.0023326305966371
F,GES,XGBoost,11,11,cb2c3a94bb9633b1,0.8881965101215161,0.2615072047319742,0.3508771929824561,0.0192581295207106,0.011723611088819
F,GES,RF,11,11,cb2c3a94bb9633b1,0.8850916617814157,0.2388071738063933,0.3184713375796178,0.0190238020687727,0.0076035784176684
F,GES,LightGBM,11,11,cb2c3a94bb9633b1,0.856869386484863,0.2372296322117647,0.3243243243243243,0.0213566403545039,0.0208740809779665
F,GES,FFMLP,11,11,cb2c3a94bb9633b1,0.7455869900340882,0.0596727713505241,0.1101694915254237,0.0214687919340201,0.0023561189456761
F,GES,Logit,11,11,cb2c3a94bb9633b1,0.6344927662099863,0.034911643118185,0.0433666191155492,0.0222344341795919,0.0023178494363328
F,GES,XGBoost,12,12,5c975e2ef0bb1afe,0.8886488481664025,0.2519872576016411,0.3389830508474576,0.0195476747449675,0.0129499198493425
F,GES,RF,12,12,5c975e2ef0bb1afe,0.8876681792850888,0.2590706855602162,0.3505154639175257,0.018663768521107,0.004944366787811
F,GES,LightGBM,12,12,5c975e2ef0bb1afe,0.8649173849794819,0.2335952168518495,0.3354037267080745,0.0209938071573591,0.0203527418387612
F,GES,FFMLP,12,12,5c975e2ef0bb1afe,0.7158122905674852,0.059980244827805,0.0615384615384615,0.0218484275027503,0.0017569395105557
F,GES,Logit,12,12,5c975e2ef0bb1afe,0.5984975139501054,0.0291277513161051,0.0514412416851441,0.0222107441609645,0.0020939224843141
F,GES,RF,13,13,4e6dc10ef0bd23f3,0.8938018831737485,0.2447748515314254,0.3391812865497076,0.0187826994688286,0.0059183673469387
F,GES,XGBoost,13,13,4e6dc10ef0bd23f3,0.8890830926894935,0.2498334067512417,0.3083700440528634,0.019517281493857,0.0124309989339277
F,GES,LightGBM,13,13,4e6dc10ef0bd23f3,0.8721077505409963,0.2397196579456252,0.3260869565217391,0.0212125980107791,0.0202539254106645
F,GES,FFMLP,13,13,4e6dc10ef0bd23f3,0.7288179140340592,0.0619342443005923,0.1285714285714285,0.0216302575211944,0.0028622018572735
F,GES,Logit,13,13,4e6dc10ef0bd23f3,0.599123549804228,0.0290485628919532,0.0510338759348878,0.0221950858033238,0.0019576179335355
F,GES,XGBoost,14,14,a1fec3a388e01181,0.888829783384357,0.2426673614417274,0.3171806167400881,0.0199048012756607,0.0123865250924402
F,GES,RF,14,14,a1fec3a388e01181,0.8815959933705336,0.231071295519687,0.3176470588235294,0.0189608800670953,0.0049466032988537
F,GES,LightGBM,14,14,a1fec3a388e01181,0.8742174551823466,0.2393933347519353,0.3353293413173652,0.0210520266937424,0.0212371096757993
