DATASET_ID,DATASET_NAME,WEIGHT_SEED,MODEL_SEED,SET,DAG,MODEL,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
58,ds_058,12403,42,OF,GES,LightGBM,47,0.26,10.825647830963135,0.9357390479912573,0.4917364365929833,0.453781512605042,0.016581125444540264,0.015928360873481807
59,ds_059,12404,42,OF,GES,LightGBM,47,0.01,8.41498851776123,0.9359815011833164,0.49013878837923475,0.4810126582278481,0.016299457574648724,0.015892928006072653
60,ds_060,12405,42,OF,GES,LightGBM,47,0.02,10.893680334091187,0.937074349899762,0.49084714338684915,0.5241379310344828,0.01651944819219107,0.01692875519915751
61,ds_061,12406,42,OF,GES,LightGBM,47,0.02,10.827909231185913,0.9335026886973388,0.47748490337245414,0.48,0.016872558751887777,0.016498604276136378
62,ds_062,12407,42,OF,GES,LightGBM,47,0.01,10.848116159439087,0.9382431914077484,0.48304566986144953,0.49056603773584906,0.016750728817642564,0.01616577116627967
63,ds_063,12408,42,OF,GES,LightGBM,47,0.01,10.859280824661255,0.9341830051168479,0.48242649758235684,0.4779874213836478,0.016424080541409997,0.015565739665188314
64,ds_064,12409,42,OF,GES,LightGBM,47,0.27,10.785185098648071,0.9321239623365251,0.4857370468402853,0.453781512605042,0.01678188790015986,0.01681995432015711
65,ds_065,12410,42,OF,GES,LightGBM,47,0.01,10.86647629737854,0.9367667600292391,0.49660064018141326,0.475,0.016269295757123475,0.0163677660928186
66,ds_066,12411,42,OF,GES,LightGBM,47,0.01,8.337950468063354,0.9277163804271518,0.48519793436512415,0.4840764331210191,0.016277045905478443,0.015538307632202025
67,ds_067,12412,42,OF,GES,LightGBM,47,0.05,10.90117335319519,0.9303146101569795,0.4888458299993973,0.49230769230769234,0.01676330945635007,0.01633794473787781
68,ds_068,12413,42,OF,GES,LightGBM,47,0.03,8.260168552398682,0.9345086885091662,0.48557725204121516,0.5106382978723404,0.016830292737484414,0.016196499130720445
69,ds_069,12414,42,OF,GES,LightGBM,47,0.03,10.873955488204956,0.9372082419610483,0.48093323444123576,0.5342465753424658,0.016695427359244164,0.016486988807509814
70,ds_070,12415,42,OF,GES,LightGBM,47,0.02,10.701145648956299,0.9351600552938025,0.48901280444853207,0.4931506849315068,0.01654747468019659,0.016343702580866724
71,ds_071,12416,42,OF,GES,LightGBM,47,0.02,10.85682201385498,0.9324605018419205,0.47403128524938287,0.5034013605442177,0.0173515059464919,0.017143077242306404
72,ds_072,12417,42,OF,GES,LightGBM,47,0.01,10.86266016960144,0.937874083563121,0.48827271278378337,0.5061728395061729,0.016632767418873182,0.016180836313277793
73,ds_073,12418,42,OF,GES,LightGBM,47,0.1,10.82517695426941,0.935532781842789,0.49025500496331725,0.4732824427480916,0.01671480046336722,0.016589181521029
