GROUP,FEATURE_TYPE,FEATURE_NAME,ALG,U,V,U_COL,V_COL,WEIGHT,EXPR
GOLEM,edge,edge_GOLEM__roa__capitalization_ratio,GOLEM,roa,capitalization_ratio,roa,capitalization_ratio,-0.13953480846329794,-0.13953480846329794 * roa * capitalization_ratio
GOLEM,edge,edge_GOLEM__roa__totaldebt_invcap,GOLEM,roa,totaldebt_invcap,roa,totaldebt_invcap,-0.17787081366373467,-0.17787081366373467 * roa * totaldebt_invcap
GOLEM,edge,edge_GOLEM__roa__rect_turn,GOLEM,roa,rect_turn,roa,rect_turn,0.24947021896429358,0.24947021896429358 * roa * rect_turn
GOLEM,edge,edge_GOLEM__capitalization_ratio__debt_ratio,GOLEM,capitalization_ratio,debt_ratio,capitalization_ratio,debt_ratio,0.11329469968544735,0.11329469968544735 * capitalization_ratio * debt_ratio
GOLEM,edge,edge_GOLEM__capitalization_ratio__longtermdebt_invcap,GOLEM,capitalization_ratio,longtermdebt_invcap,capitalization_ratio,longtermdebt_invcap,0.9275139976572211,0.9275139976572211 * capitalization_ratio * longtermdebt_invcap
GOLEM,edge,edge_GOLEM__capitalization_ratio__totaldebt_invcap,GOLEM,capitalization_ratio,totaldebt_invcap,capitalization_ratio,totaldebt_invcap,-0.8195173471177255,-0.8195173471177255 * capitalization_ratio * totaldebt_invcap
GOLEM,edge,edge_GOLEM__longtermdebt_invcap__totaldebt_invcap,GOLEM,longtermdebt_invcap,totaldebt_invcap,longtermdebt_invcap,totaldebt_invcap,0.37506344913327966,0.37506344913327966 * longtermdebt_invcap * totaldebt_invcap
GOLEM,edge,edge_GOLEM__rect_turn__leverage_ratio,GOLEM,rect_turn,leverage_ratio,rect_turn,leverage_ratio,0.231498411108146,0.231498411108146 * rect_turn * leverage_ratio
GOLEM,edge,edge_GOLEM__rect_turn__asset_liabilities,GOLEM,rect_turn,asset_liabilities,rect_turn,asset_liabilities,0.12047630974763236,0.12047630974763236 * rect_turn * asset_liabilities
GOLEM,edge,edge_GOLEM__rect_turn__roe,GOLEM,rect_turn,roe,rect_turn,roe,-0.13152581684383333,-0.13152581684383333 * rect_turn * roe
GOLEM,edge,edge_GOLEM__rect_turn__asset_turnover,GOLEM,rect_turn,asset_turnover,rect_turn,asset_turnover,0.24968004519509074,0.24968004519509074 * rect_turn * asset_turnover
