,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
50,14.234000000000002,1.0668276331831652,0.297,0.145,0.934,0.046,0.044000000000000004,0.19699999999999998,0.19699999999999998,0.562,0.027000000000000003,1.161,0.248,0
51,14.954,1.0643918777876755,0.259,0.135,0.937,0.09,0.033,0.14400000000000002,0.14400000000000002,1.227,0.025,2.9019999999999997,0.217,0
52,15.019,1.0653201554672942,0.253,0.113,0.938,0.096,0.027000000000000003,0.204,0.248,1.493,-0.049,3.766,0.168,0
53,16.179000000000002,1.0614455213715017,0.231,0.11699999999999999,0.9420000000000001,0.113,0.02,0.153,0.153,1.65,-0.018000000000000002,5.957999999999999,0.16699999999999998,0
54,15.139000000000001,1.062899312203132,0.212,0.113,0.938,0.111,0.019,0.13,0.13,1.565,0.013000000000000001,6.075,0.158,0
55,14.04,1.0689023946209655,0.012,0.096,0.934,0.121,0.0,0.12300000000000001,0.12300000000000001,1.601,0.02,313.32099999999997,0.134,0
56,16.622,1.0662842073993102,-0.413,0.094,0.943,0.10099999999999999,-0.011000000000000001,0.172,0.172,1.474,0.038,-8.873,0.146,0
62,79.798,1.0242083815520089,-0.6659999999999999,0.105,0.978,0.264,-0.004,0.9359999999999999,0.89,1.3130000000000002,0.115,-66.68,0.491,0
85,18.839000000000002,1.0577839931979978,0.146,0.073,0.943,0.203,0.018000000000000002,0.345,0.345,2.802,-0.022000000000000002,13.436,0.133,0
86,20.866999999999997,1.0524576188076464,0.14800000000000002,0.092,0.946,0.23,0.02,0.34299999999999997,0.371,3.5660000000000003,-0.006,11.97,0.16,0
87,18.660999999999998,1.0564869377170385,0.139,0.085,0.9470000000000001,0.221,0.019,0.36700000000000005,0.36700000000000005,2.7569999999999997,-0.027000000000000003,11.86,0.154,0
88,17.595,1.0548379967681554,0.09,0.076,0.946,0.21100000000000002,0.013999999999999999,0.33,0.33,2.6289999999999996,0.039,15.610999999999999,0.147,0
89,18.41,1.0521798541799652,0.091,0.076,0.948,0.248,0.013999999999999999,0.268,0.268,3.522,-0.125,18.538,0.162,0
90,17.253,1.0577771811418346,0.14,0.084,0.945,0.242,0.02,0.228,0.228,3.415,-0.01,12.277000000000001,0.166,0
91,16.942999999999998,1.0570217876283194,0.134,0.095,0.9440000000000001,0.242,0.02,0.165,0.165,3.623,0.006,12.607000000000001,0.179,0
92,16.738,1.0569258294675428,0.131,0.10800000000000001,0.9440000000000001,0.248,0.018000000000000002,0.09699999999999999,0.09699999999999999,3.967,0.053,13.615,0.20600000000000002,0
93,15.972000000000001,1.064018747549317,0.1,0.12,0.941,0.214,0.013999999999999999,0.032,0.032,3.516,0.033,15.084000000000001,0.23600000000000002,0
94,15.868,1.0611380195478686,0.096,0.121,0.941,0.203,0.015,0.01,0.01,3.384,0.054000000000000006,13.625,0.23,0
95,15.883,1.063485696484762,0.11900000000000001,0.10099999999999999,0.941,0.201,0.018000000000000002,0.016,0.016,3.335,0.076,11.797,0.19699999999999998,0
96,15.552,1.060684773558113,0.131,0.11,0.94,0.16899999999999998,0.02,0.026000000000000002,0.026000000000000002,2.7319999999999998,-0.005,8.61,0.198,0
97,14.432,1.0641676723056999,0.128,0.10300000000000001,0.935,0.146,0.019,0.03,0.03,2.19,-0.03,7.702000000000001,0.16899999999999998,0
98,15.047,1.0643523553420156,0.182,0.099,0.938,0.20600000000000002,0.023,0.195,0.195,2.657,0.025,9.31,0.162,0
108,24.814,1.044382812860127,-0.08900000000000001,0.161,0.961,0.26,-0.006,0.718,0.718,1.895,-0.019,-39.931999999999995,0.499,0
