SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,FFMLP,13,26,2c764abfb8fe9cff,0.8783355407429925,0.24385350739045492,0.3684210526315789,0.019755645895030687,0.008704616540044688
OF,GES,XGBoost,14,27,840d63bf7908ab2c,0.9421188237763352,0.460716981736295,0.46715328467153283,0.016024915684326412,0.011365686552398592
OF,GES,LightGBM,14,27,840d63bf7908ab2c,0.938225097885953,0.4639032998535384,0.4732824427480916,0.017024520713184606,0.01673322643080588
OF,GES,RF,14,27,840d63bf7908ab2c,0.9197371373153556,0.39468570329790903,0.3853211009174312,0.016521851831143415,0.0040793961420184524
OF,GES,Logit,14,27,840d63bf7908ab2c,0.9166938069493599,0.23887537989940272,0.3125,0.01956119237971446,0.01060993626088317
OF,GES,FFMLP,14,27,840d63bf7908ab2c,0.8807311230287108,0.25292095854357033,0.3252032520325203,0.019435795034085147,0.008784889473184329
OF,GES,XGBoost,15,28,ba79a71676c6c3c9,0.9418329461319669,0.4485206861416407,0.44171779141104295,0.015959109609145445,0.012139019055533109
OF,GES,LightGBM,15,28,ba79a71676c6c3c9,0.9369223643166802,0.46272152665867045,0.453781512605042,0.016737003923698493,0.016681448518015424
OF,GES,RF,15,28,ba79a71676c6c3c9,0.9243654601906333,0.40225967215027053,0.4129032258064516,0.01644957450377411,0.0034240984064858814
OF,GES,Logit,15,28,ba79a71676c6c3c9,0.919078533122001,0.24150201510442101,0.36363636363636365,0.019383736552268976,0.01009900940014486
OF,GES,FFMLP,15,28,ba79a71676c6c3c9,0.8677653053100868,0.2525150242674708,0.311284046692607,0.01987109647640157,0.007321416602675928
OF,GES,XGBoost,16,29,fe323861148b30cc,0.9421694856373625,0.4715383098803908,0.4755244755244755,0.015982700360055002,0.011615637332999801
OF,GES,RF,16,29,fe323861148b30cc,0.9389343639403347,0.39965364517750557,0.3793103448275862,0.01648205647190383,0.003280402571987697
OF,GES,LightGBM,16,29,fe323861148b30cc,0.9345883000050662,0.47861297596667013,0.4444444444444444,0.016695249556402076,0.016277067915180535
OF,GES,Logit,16,29,fe323861148b30cc,0.9178264614137555,0.2440030035654014,0.32727272727272727,0.0197232386786501,0.009992473887171102
OF,GES,FFMLP,16,29,fe323861148b30cc,0.8888804452453843,0.23859791764792662,0.3699421965317919,0.01973231214471212,0.007518104078893327
OF,GES,XGBoost,17,30,261681e890b8b726,0.9429077013266169,0.46939702094364005,0.5063291139240507,0.016019660175562587,0.0118643005710769
OF,GES,LightGBM,17,30,261681e890b8b726,0.9348633215363571,0.46789386407734745,0.5112781954887218,0.01700488662933867,0.016635773260653575
OF,GES,RF,17,30,261681e890b8b726,0.9283225134072997,0.39830110821797104,0.3626943005181347,0.01654153983785295,0.0035672351132233714
OF,GES,Logit,17,30,261681e890b8b726,0.9198601732635647,0.2486327561960094,0.38636363636363635,0.019703357708451087,0.010170483192939485
OF,GES,FFMLP,17,30,261681e890b8b726,0.887555999449957,0.24813500619782453,0.36904761904761907,0.01992378895599822,0.007315926515201232
OF,GES,XGBoost,18,31,0c1af224819db96e,0.9463273769459583,0.468759529698862,0.47904191616766467,0.015889554834534768,0.011259396610414956
OF,GES,LightGBM,18,31,0c1af224819db96e,0.9355798249994572,0.4734056957948622,0.5,0.016639371016089127,0.017011577023430927
OF,GES,RF,18,31,0c1af224819db96e,0.9305045921358316,0.3850684827660256,0.4,0.016555932904668714,0.0036695554934302486
OF,GES,Logit,18,31,0c1af224819db96e,0.9208589356666739,0.2552031933243611,0.30985915492957744,0.01935570752508859,0.009884361515106329
OF,GES,FFMLP,18,31,0c1af224819db96e,0.8763380159367741,0.24336357801904107,0.3023255813953488,0.01983254409000348,0.008671322317785111
OF,GES,XGBoost,19,32,c9c1abdc21450643,0.9454516504910582,0.4558327515825941,0.4594594594594595,0.016105684224125096,0.011870213892068198
OF,GES,RF,19,32,c9c1abdc21450643,0.9333814621013092,0.40466448374564856,0.3883495145631068,0.01638084540117417,0.0033161867486720736
OF,GES,LightGBM,19,32,c9c1abdc21450643,0.9317838041267705,0.47471914503782653,0.5070422535211268,0.016725990231108975,0.016858593707336052
OF,GES,Logit,19,32,c9c1abdc21450643,0.9198529358548466,0.2503864233752014,0.37714285714285717,0.019576753504774502,0.01024106251657989
OF,GES,FFMLP,19,32,c9c1abdc21450643,0.889267646611807,0.25790880378214504,0.38636363636363635,0.019276195068961107,0.007909175528742964
OF,GES,XGBoost,20,33,e28ed0ae4fdd67ed,0.9406242988760304,0.4672893592268843,0.49333333333333335,0.015939472101873957,0.01121102755092322
OF,GES,LightGBM,20,33,e28ed0ae4fdd67ed,0.9300938691910748,0.47453419834116817,0.49635036496350365,0.016513351444270512,0.01650640465836861
OF,GES,RF,20,33,e28ed0ae4fdd67ed,0.9282591860810157,0.40303447145429605,0.3854166666666667,0.016430041934582054,0.005628739166899635
OF,GES,Logit,20,33,e28ed0ae4fdd67ed,0.9196032452540691,0.24181434625012652,0.36363636363636365,0.01980440389148398,0.010188657332035148
OF,GES,FFMLP,20,33,e28ed0ae4fdd67ed,0.8922277467775437,0.2401569853969685,0.3699421965317919,0.01985096591342459,0.007570562324949341
OF,GES,XGBoost,21,34,b6f5c3753592fbac,0.9388692272618712,0.4666948945286163,0.4805194805194805,0.016116152575669448,0.011726176529263036
OF,GES,RF,21,34,b6f5c3753592fbac,0.9322976601457614,0.4075508154419958,0.4,0.016411093094772154,0.0035549343024881175
